OrganisasjonsNummer;BrregNavn;AntallAnsatte;Kode;Kode;Slettedato;Konkurs
822264042;47Bygg AS;2;41.200;AS;;False
817539602;5 ZENZES AS;0;96.020;AS;;False
814537102;Accon Group AS;3;46.769;AS;;False
811607002;ACEA DEVELOPMENT AS;3;68.209;AS;;False
818656742;ACER DIXON AS;1;85.599;AS;;False
821700922;ADDERO AS;8;69.201;AS;;False
822633242;ADVENTURE HELGELAND AS;1;79.903;AS;;False
821968402;ADVOKATFIRMAET MØLLER AS;6;69.100;AS;;False
820244672;AGGREGAT SERVICE AS;0;33.120;AS;;False
821406382;AGK AS;1;70.220;AS;;False
815623932;Ah Takstservice AS;0;68.310;AS;;False
817128572;Ainas Kiosk og Helsekost AS;20;47.112;AS;;False
814800202;AKNATON AS;0;41.109;AS;;False
818059132;ALFA KIROPRAKTIKK - FREDERIK FUCHS;0;86.909;ENK;;False
822235182;AM SKOGSDRIFT AS;2;02.200;AS;;False
813564572;ANALYSYS MASON AS;20;70.220;AS;;False
813973472;ANDREAS WAAG MARTINSEN;0;62.020;ENK;;False
812440012;ANDREW JOHN WELLS PIANOENTERTAINER;0;90.011;ENK;;False
815585232;Annex Consulting AS;3;68.310;AS;;False
814077292;ANSI HOLDING AS;0;41.200;AS;;False
819042462;Anskaffelsesadvokaten AS;1;69.100;AS;;False
816809932;ANTI AS;73;74.102;AS;;False
819832412;APARTÉ AS;0;47.299;AS;;False
821926122;APOLLÔN II AS;1;86.211;AS;;False
820962052;Aqua Seapro AS;0;03.213;AS;;True
812796712;ARAGON MEDIA AS;1;58.140;AS;;False
813302152;ARB INVEST AS;1;45.111;AS;;False
814910652;ARCTIC ELEKTRO AS;18;43.210;AS;;False
823321902;ARCTIC LOGISTICS AS;0;70.220;AS;;False
814350932;ARCTIC SWAN AS;6;03.111;AS;;False
817668992;ART BY LENA ANDERSEN;0;90.031;ENK;;False
821842972;ARWA AUTO SERVICE NAEL ABDULHAKIM ABUSHANAB;0;45.112;ENK;;False
815295242;ARXX THERAPEUTICS AS;4;21.200;AS;;False
819944962;ASCERTRA AS;21;63.110;AS;;False
821992192;ASF HOLDING AS;0;64.308;AS;;False
820260082;ASH AS;5;71.121;AS;;False
814905632;ASKE BRYGGERI AS;11;11.050;AS;;False
812159062;Askepotts Renhold AS;18;81.210;AS;;False
821845262;ATL AS;18;78.200;AS;;False
821862132;AURDAL TAXI;0;49.320;ENK;;False
815498062;AURORA MUSIC AS;3;90.011;AS;;False
816166012;Austevikvegen 10 AS;0;68.320;AS;;False
817912532;AUTODRIVE AS;3;45.200;AS;;False
819933472;AUTOSPORT VERKSTED AS;1;45.200;AS;;False
815105222;AVA OF NORWAY AS;47;46.694;AS;;False
814531082;AVANT;0;94.991;FLI;;False
811613932;Axelar AS;5;70.220;AS;;False
820501152;Azteko AS;7;56.102;AS;;False
814340872;B&T LOGISTIKK AS;22;49.410;AS;;False
813170442;BAG CATERING AS;6;56.210;AS;;False
820602412;BAGØIEN ENDRING, FOREDRAG- OPPLEVELSER-KURS;0;85.599;ENK;;False
815247922;BALKONGSENTERET AS;3;47.529;AS;;False
820473752;BALTESKARD BUSS AS;7;49.392;AS;;False
823459602;BANKEN CAFÈ AS;18;56.101;AS;;False
823554052;Bare 3 AS;5;46.739;AS;;False
818316712;BASSKON AS;0;68.100;AS;;False
811864722;BB GYM TROMSØ AS;0;85.510;AS;;False
818720572;BBM TEKNIKK AS;4;33.150;AS;;False
823323492;BEAUTY BY ANNA AS;4;96.020;AS;;False
815547322;BELLA CAMPING AS;0;56.101;AS;;True
